"MostUsed" "SentCount" "SentLen" "WordCount" "WordLen" "," "." ":" "CC" "CD" "DT" "EX" "IN" "JJ" "JJS" "MD" "NN" "NNP" "NNS" "POS" "PRP" "PRP$" "RB" "RP" "TO" "UH" "VB" "VBD" "VBG" "VBN" "VBP" "VBZ" "WDT" "WP" "WRB" "Adjectives" "''" "JJR" "PDT" "RBR" "RBS" "-LRB-" "-RRB-" "``" "FW" "NNPS" "WP$" "#"
"242" "laugh" 8 84.375 149 3.71812080536913 3 8 1 13 2 13 0 13 2 0 0 21 4 5 0 12 10 10 2 3 0 2 21 0 0 2 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0
"243" "wave" 7 89.7142857142857 139 3.69784172661871 2 7 0 4 2 6 0 18 7 0 3 14 1 5 0 17 6 11 1 2 0 6 15 4 1 1 2 2 1 1 7 0 0 0 0 0 0 0 0 0 0 0 0
"244" "friend" 30 104.566666666667 649 4.00462249614792 10 30 0 22 6 40 0 92 38 3 15 64 0 36 0 64 21 50 2 20 0 35 60 7 8 5 1 3 4 3 44 3 3 1 3 0 0 0 0 0 0 0 0
"245" "beach" 49 80.9183673469388 858 3.84265734265734 27 49 0 39 4 87 3 85 43 1 3 107 31 21 5 96 11 53 5 17 0 20 80 20 9 16 6 3 3 3 50 1 6 1 0 0 1 2 0 0 0 0 0
"246" "time" 29 89.1724137931034 550 3.90363636363636 17 29 0 24 4 45 2 58 14 3 4 62 14 19 4 64 6 36 2 20 1 21 52 19 4 7 8 1 0 7 17 0 0 0 1 2 0 0 0 0 0 0 0
"247" "kid" 13 86.5384615384615 261 3.47509578544061 0 14 0 10 2 27 2 26 9 0 5 36 1 13 0 30 8 10 0 4 0 7 33 5 7 1 3 0 3 5 9 0 0 0 0 0 0 0 0 0 0 0 0
"248" "laugh" 36 95.2222222222222 750 3.768 23 35 0 36 7 61 2 79 37 4 11 66 6 22 1 89 10 55 5 27 1 43 54 16 19 26 3 0 1 5 41 0 0 1 2 1 0 0 1 1 0 0 0
"249" "voic" 33 97 676 3.91420118343195 11 32 0 29 7 45 0 58 27 5 9 68 7 29 0 77 14 50 4 24 0 31 73 26 2 7 12 5 3 8 37 0 5 1 7 0 0 0 0 0 0 0 0
"250" "back" 51 84.4509803921569 907 3.99448732083793 51 51 0 37 4 99 2 90 31 2 7 98 27 35 3 69 7 52 13 42 3 46 81 20 8 9 0 2 0 2 38 3 5 2 1 0 1 1 3 0 0 0 0
"251" "laugh" 6 188.5 243 3.68724279835391 2 6 1 10 2 31 1 25 11 2 0 46 4 9 0 18 7 6 2 6 0 3 26 3 5 2 1 0 1 2 13 0 0 1 0 0 3 4 0 2 1 0 0
"252" "laugh" 31 80.6129032258064 562 3.6779359430605 19 32 0 20 4 33 1 57 24 1 14 50 5 12 1 84 9 38 1 14 0 32 58 10 13 9 2 0 2 11 25 3 0 1 0 0 0 0 2 0 0 0 0
"253" "hous" 18 216.166666666667 866 3.56697459584296 0 23 1 46 6 67 2 99 35 6 6 134 6 24 2 104 19 64 9 21 2 32 85 19 6 22 13 1 3 4 42 0 1 1 0 0 0 1 1 1 0 0 0
"254" "laugh" 54 84.6481481481482 951 4.04942166140904 44 57 4 37 20 90 3 85 63 5 7 116 17 47 3 60 9 67 6 23 1 34 71 19 16 12 10 2 2 5 69 5 1 4 2 0 1 1 2 0 0 0 0
"255" "end" 26 128.384615384615 744 3.65188172043011 14 27 5 36 6 50 0 90 31 0 5 78 11 16 1 85 35 45 11 18 0 30 64 23 8 21 16 5 3 7 31 0 0 0 1 0 0 1 0 1 0 0 0
"256" "friend" 8 299.125 514 3.73929961089494 16 9 0 33 2 47 0 50 18 1 1 65 9 15 0 65 12 16 4 25 0 28 55 15 7 3 7 1 5 4 19 0 0 0 1 0 0 0 0 0 0 0 0
"257" "make" 38 76.6052631578947 664 3.63253012048193 38 39 0 21 4 48 1 72 37 1 10 83 1 18 0 60 23 38 4 21 0 32 51 31 8 7 2 0 1 0 38 6 0 0 2 0 0 0 5 0 0 0 0
"258" "laugh" 33 96.2727272727273 679 3.8880706921944 25 33 0 26 8 48 1 85 32 10 10 78 14 27 5 70 22 32 3 13 0 33 24 14 11 22 17 1 3 7 43 0 1 0 0 2 0 0 2 0 0 0 0
"259" "famili" 54 91.8518518518518 960 4.39895833333333 14 63 3 27 9 97 1 132 69 0 5 155 6 74 6 48 30 49 3 0 1 20 10 27 20 19 42 1 3 4 71 9 2 1 0 0 0 1 7 1 1 0 0
"260" "sister" 17 151.176470588235 553 3.82640144665461 18 27 1 4 5 57 0 70 29 1 3 82 1 22 0 51 18 23 1 13 1 17 31 27 3 12 10 0 1 7 33 7 3 1 0 0 0 1 6 0 0 0 0
"261" "laugh" 14 239.214285714286 687 3.95778748180495 10 15 0 27 6 44 2 78 46 4 9 82 2 26 0 59 25 54 4 23 0 44 15 14 6 31 22 5 8 12 53 0 3 1 1 1 0 0 0 7 0 1 0
"262" "laugh" 41 108.853658536585 966 3.83229813664596 68 42 0 56 6 74 2 82 53 3 13 100 1 37 1 92 32 71 7 13 0 59 12 17 8 44 37 7 5 14 59 0 3 4 1 1 0 1 0 0 0 0 0
"263" "hill" 34 127.029411764706 924 3.86688311688312 61 34 1 36 19 89 1 107 36 3 14 94 17 45 1 71 15 61 3 30 0 44 69 24 10 12 6 4 8 4 40 2 1 0 2 0 0 0 0 0 0 0 0
"264" "laugh" 46 81.5217391304348 794 3.93198992443325 22 46 1 41 5 77 0 70 31 9 11 98 19 28 0 81 20 40 4 21 1 30 65 17 8 15 9 4 2 9 43 2 3 1 1 2 0 0 1 0 0 0 0
"265" "laughter" 30 64.5666666666667 427 3.77751756440281 7 30 0 11 2 27 0 46 25 2 5 58 14 20 2 35 22 30 2 11 0 17 21 6 3 14 6 0 0 7 28 0 1 0 1 0 0 0 0 2 0 0 0
"266" "team" 37 108.972972972973 893 3.66741321388578 18 37 0 46 2 80 0 98 53 2 8 128 17 24 1 71 25 57 4 28 0 35 83 13 21 10 6 3 3 7 57 0 2 1 0 1 0 0 1 8 0 0 0
"267" "laugh" 57 72.6666666666667 893 3.84434490481523 2 57 0 31 7 75 4 90 48 4 7 110 2 28 1 80 34 59 10 28 0 38 55 35 8 24 28 2 4 14 54 1 2 0 3 2 0 0 0 0 0 0 0
"268" "commerci" 20 213 909 3.7997799779978 26 19 3 45 5 61 0 106 48 6 10 103 21 16 0 97 18 86 10 28 0 41 84 15 16 14 10 4 7 7 55 2 1 0 0 0 0 0 0 0 0 0 0
"269" "laugh" 29 96.3448275862069 626 3.6517571884984 24 30 0 19 8 48 4 60 31 6 14 66 2 19 0 67 11 46 4 16 0 33 46 24 9 15 7 2 2 11 37 0 0 1 0 0 0 0 1 0 0 0 0
"270" "car" 41 104.560975609756 917 3.87459105779716 32 43 0 27 6 81 1 105 29 1 11 96 20 22 7 95 19 81 6 30 0 55 82 25 9 9 10 1 4 6 30 2 0 1 0 0 0 0 1 0 0 0 0
"271" "laugh" 17 102.470588235294 368 3.87771739130435 2 17 0 10 0 20 2 33 20 1 8 36 5 15 0 51 7 25 1 13 1 27 10 10 2 17 14 1 1 12 24 0 3 0 4 0 0 0 0 0 0 0 0
"272" "pond" 34 107.676470588235 778 3.91131105398458 42 36 6 31 8 96 1 100 53 6 7 103 11 54 1 46 9 40 4 14 0 22 5 22 8 23 16 0 0 7 59 1 0 0 1 1 2 2 0 0 0 0 0
"273" "thought" 78 60.2435897435897 1023 3.91984359726295 55 84 2 33 18 65 1 96 47 1 16 109 16 16 3 110 19 77 3 19 3 52 67 19 5 22 27 2 3 6 48 17 0 1 0 0 0 0 9 0 0 0 0
"274" "room" 76 61.2763157894737 1019 3.88714425907753 41 83 0 30 27 82 1 105 37 4 9 93 18 24 4 107 17 54 5 28 6 39 85 30 11 22 11 2 2 4 42 24 1 1 1 0 0 0 11 0 0 0 0
"275" "laughter" 26 133.384615384615 729 3.95061728395062 44 29 0 39 13 61 4 94 41 2 8 95 5 23 1 51 20 41 4 20 0 24 31 11 8 21 18 3 2 6 43 4 0 1 1 2 0 0 2 0 0 0 0
"276" "back" 76 60.8947368421053 978 4.01840490797546 33 78 0 29 8 87 1 104 44 2 10 161 10 39 7 77 27 52 6 25 0 32 68 18 11 13 13 5 1 3 46 9 0 0 1 1 0 0 3 0 0 0 0
"277" "dad" 28 66.5 441 3.43310657596372 7 29 0 27 0 30 0 45 17 0 4 59 1 13 0 43 18 19 3 17 2 19 51 17 5 4 1 1 0 5 17 0 0 0 0 0 0 0 1 3 0 0 0
"278" "laugh" 40 71.1 631 3.73534072900158 15 41 0 23 4 35 1 53 40 2 9 58 8 27 0 74 26 28 2 23 0 37 60 20 4 8 8 0 4 10 45 3 3 1 3 0 0 0 1 0 0 0 0
"279" "laugh" 30 135.566666666667 864 3.87847222222222 43 30 0 43 9 78 1 92 46 1 10 99 13 53 2 73 7 36 4 20 0 44 45 25 15 35 15 10 8 2 47 2 0 0 0 0 0 0 3 0 0 0 0
"280" "laughter" 38 79.8684210526316 642 3.94080996884735 22 38 0 24 3 59 1 66 29 2 7 79 7 35 0 43 16 26 0 26 0 42 17 6 18 18 27 4 3 8 40 0 9 3 4 0 0 0 0 0 0 0 0
"281" "time" 52 84.8076923076923 935 3.92406417112299 24 54 0 31 8 64 1 100 55 3 17 94 12 34 0 97 37 67 6 27 0 45 81 19 29 7 5 0 6 6 58 2 0 1 2 0 0 0 1 0 0 0 0
"282" "laughter" 25 114.64 600 3.955 23 26 0 14 3 57 0 62 25 0 10 86 15 21 2 64 18 42 4 1 1 23 40 6 15 12 12 1 1 9 26 1 1 3 1 1 0 0 0 0 0 0 0
"283" "laugh" 34 124.735294117647 942 3.67834394904459 44 35 0 36 12 69 1 94 49 9 16 83 13 32 0 99 20 74 5 30 0 62 43 21 9 33 27 3 2 9 61 2 3 3 2 1 0 0 1 0 0 0 0
"284" "laugh" 54 75.0555555555556 825 4.2 33 67 0 22 15 61 3 71 53 3 13 81 15 35 2 77 23 53 4 14 2 32 53 18 7 17 13 2 0 1 58 21 2 0 2 0 0 0 10 0 0 0 0
"285" "boy" 40 104.15 919 3.6974972796518 12 39 0 71 6 76 1 73 38 4 8 122 15 29 16 96 18 40 14 31 0 31 97 27 5 12 8 2 4 5 43 8 1 1 0 0 0 0 9 0 0 0 0
"286" "laugh" 19 192.157894736842 751 3.94141145139814 32 19 2 25 9 55 2 72 41 0 15 74 20 33 1 71 35 37 4 25 3 49 39 12 11 22 11 2 8 15 44 1 3 1 0 1 0 0 1 0 0 0 0
"287" "laugh" 35 121.885714285714 946 3.70084566596194 39 50 0 51 8 72 0 89 40 3 5 104 13 28 2 125 20 43 10 20 1 28 99 17 6 24 7 6 1 12 44 15 1 2 0 0 1 1 3 0 0 0 0
"288" "back" 50 71.4 781 3.81818181818182 17 53 0 29 6 52 0 80 57 0 17 89 1 23 1 79 16 59 9 24 2 50 52 24 7 8 1 2 0 11 58 2 1 0 1 3 1 1 3 0 0 0 0
"289" "hadnt" 27 109.333333333333 601 4.08153078202995 8 29 0 18 4 54 0 79 35 1 5 64 6 27 2 55 20 39 4 18 0 25 32 32 9 13 6 0 4 5 37 2 1 1 1 0 0 0 0 1 1 0 0
"290" "laugh" 42 90.2380952380952 831 3.79542719614922 30 44 0 25 5 41 1 79 34 2 13 82 3 22 0 105 22 63 4 24 2 44 35 31 7 40 31 6 8 12 38 2 2 1 3 1 3 3 1 0 0 0 0
"291" "leg" 35 81.3142857142857 637 3.65149136577708 3 35 0 31 0 48 1 65 23 0 5 91 6 12 1 61 27 47 4 22 0 34 69 24 7 1 3 0 4 9 23 1 0 1 1 0 0 1 0 0 0 0 0
"292" "laughter" 20 96.8 385 4.23636363636364 21 20 0 17 1 33 0 30 32 1 13 57 3 14 0 21 12 25 2 16 0 22 4 12 0 8 15 0 2 2 33 0 0 0 0 2 0 0 0 0 0 0 0
"293" "peopl" 20 80.4 348 3.86206896551724 14 20 0 15 2 29 1 28 28 0 7 37 4 19 1 27 5 17 0 12 0 20 24 3 11 9 4 1 2 4 29 0 1 0 3 0 0 0 0 0 0 0 0
"294" "laugh" 39 105.384615384615 912 3.67214912280702 16 44 0 37 13 51 1 106 41 4 6 108 6 30 2 87 45 81 7 32 0 32 83 35 13 10 6 1 2 2 51 1 6 1 1 1 0 0 1 0 0 0 0
"295" "time" 19 170.263157894737 665 4.01052631578947 39 19 2 31 6 58 4 87 49 3 6 71 2 44 0 42 9 39 1 23 0 33 30 15 10 17 7 4 5 6 53 0 1 1 0 1 0 0 0 0 0 0 0
"296" "day" 42 81.3095238095238 751 3.79360852197071 33 44 0 6 14 54 1 82 32 3 10 75 22 25 0 82 14 59 8 18 0 32 73 12 14 10 4 1 6 7 36 4 1 0 1 0 0 0 4 0 0 0 0
"297" "laugh" 14 134.928571428571 374 4.20053475935829 9 15 0 20 0 39 0 37 24 2 5 54 7 11 0 27 15 22 5 6 0 15 30 15 0 1 2 0 2 3 30 3 4 0 0 0 0 0 1 0 0 0 0
"298" "laugh" 19 121.105263157895 481 3.93139293139293 5 21 0 24 4 41 0 55 20 2 11 65 1 21 1 46 16 28 0 11 0 27 21 15 7 10 9 1 0 1 24 3 2 0 7 0 1 1 3 0 1 0 0
"299" "mom" 34 78.2941176470588 572 3.87237762237762 10 34 0 25 7 33 2 56 30 1 9 84 4 17 0 65 18 40 3 15 0 24 56 7 5 13 2 2 2 4 32 0 1 0 0 0 1 2 0 0 0 0 0
"300" "girl" 31 68.258064516129 444 4.04954954954955 30 31 0 16 2 43 0 47 40 0 5 52 14 21 2 28 10 16 3 5 0 19 16 12 4 11 9 1 1 3 41 0 1 1 0 1 0 0 0 0 0 0 0
"301" "laughter" 26 55.4615384615385 302 4.11258278145695 12 27 1 4 2 30 2 25 15 1 9 55 8 14 0 9 2 14 0 8 0 16 2 2 0 3 27 0 1 5 18 1 2 2 1 0 0 0 1 1 0 0 0
"302" "laugh" 34 106.852941176471 767 3.90873533246415 23 35 0 28 14 68 1 76 47 5 13 79 9 30 1 82 8 64 2 27 1 32 45 18 12 16 13 1 4 3 56 1 4 2 2 1 0 0 0 0 0 0 0
"303" "peopl" 74 58.4324324324324 981 3.69826707441386 44 77 1 11 4 80 5 99 56 5 18 72 19 41 1 107 7 103 4 21 3 47 22 15 11 37 44 2 12 8 65 1 4 0 0 0 0 0 0 0 0 0 0
"304" "father" 56 74.7857142857143 933 3.76420150053591 72 57 2 36 3 90 1 94 58 1 7 141 7 34 4 53 31 44 6 30 0 31 60 28 10 6 16 1 1 1 64 0 5 0 3 0 0 0 0 0 0 0 0
"305" "feel" 45 95.1777777777778 935 3.77219251336898 32 46 0 27 5 83 0 86 50 0 35 106 12 20 0 96 12 50 10 39 0 80 50 27 5 19 7 7 5 12 56 2 6 0 4 1 0 0 1 0 0 0 0
"306" "laugh" 34 71.1470588235294 542 3.6789667896679 6 34 0 25 6 44 0 50 29 1 9 69 3 14 0 55 14 42 3 12 0 32 34 12 4 14 14 2 2 7 32 0 2 1 1 1 0 0 0 0 0 0 0
"307" "friend" 47 77.1276595744681 829 3.60675512665862 34 47 4 23 6 67 0 92 40 3 8 91 6 23 2 110 12 49 4 20 0 31 82 14 13 12 12 1 5 13 46 2 3 0 0 0 0 0 0 0 0 0 0
"308" "parti" 51 88.3725490196078 944 3.98516949152542 39 51 0 25 4 75 0 114 39 3 9 123 4 24 1 102 31 63 9 35 0 35 100 22 13 2 1 3 6 7 42 0 0 1 2 0 0 0 1 0 0 0 0
"309" "stair" 52 83.9038461538462 944 3.84004237288136 26 54 0 28 15 100 0 106 38 1 9 111 9 29 0 99 17 53 7 29 1 34 80 36 19 15 6 2 0 2 43 7 4 1 1 0 0 0 4 1 0 0 0
"310" "fort" 31 69.1290322580645 500 3.484 3 31 0 18 2 48 3 67 26 0 2 64 1 20 1 53 7 35 6 15 0 22 49 12 2 4 4 1 0 0 26 0 0 2 0 0 0 1 0 1 0 0 0
"311" "back" 16 133.4375 481 3.54469854469854 11 17 0 26 6 38 2 52 6 0 6 39 10 13 0 61 10 32 12 22 2 32 39 10 4 10 14 0 3 2 6 1 0 0 0 0 0 0 0 1 0 0 0
"312" "laugh" 15 80.4666666666667 272 3.65073529411765 10 15 0 21 1 19 0 26 5 0 5 31 0 19 0 27 8 17 1 5 0 15 24 20 1 0 0 0 0 2 5 0 0 0 0 0 0 0 0 0 0 0 0
"313" "girl" 41 108.341463414634 920 3.99565217391304 24 41 0 38 4 70 0 104 69 4 14 96 13 59 1 99 5 54 3 24 0 38 77 20 8 10 11 8 9 11 76 0 3 0 0 1 1 1 0 0 0 0 0
"314" "girl" 32 105.28125 737 3.74084124830393 18 32 0 31 7 56 0 84 20 2 8 74 2 31 1 84 17 52 9 27 0 39 60 18 17 15 11 1 8 8 23 0 1 1 1 0 1 1 0 0 0 0 0
"315" "friend" 27 119.333333333333 632 4.2626582278481 23 27 0 20 9 56 0 68 38 6 9 66 8 32 0 53 14 52 1 16 0 27 38 15 17 12 10 6 1 4 46 0 2 0 2 0 0 0 0 0 0 0 0
"316" "laugh" 43 67.9767441860465 673 3.58543833580981 11 45 0 20 2 33 1 66 38 3 17 76 5 22 0 83 24 35 6 34 0 57 36 9 3 18 17 1 3 6 42 0 1 1 0 0 0 0 0 0 0 0 0
"317" "famili" 44 88.6590909090909 821 3.95615103532278 18 44 0 36 4 51 1 92 41 1 10 93 12 29 1 85 27 53 6 25 0 44 67 17 15 14 10 3 4 6 48 1 6 0 3 1 0 0 1 0 0 0 0
"318" "pepper" 38 106.473684210526 883 3.77802944507361 43 40 1 32 5 73 0 87 43 3 12 90 10 28 2 102 18 59 3 29 3 50 82 28 6 9 9 1 4 6 47 2 1 0 0 0 0 0 1 1 0 0 0
"319" "start" 34 87.4705882352941 655 3.72213740458015 9 34 3 34 8 45 2 63 17 0 5 80 9 19 2 60 27 41 11 32 0 41 54 25 7 8 10 1 0 1 21 2 4 0 0 0 0 0 1 0 0 0 0
"320" "cano" 30 138.433333333333 890 3.8 12 32 0 33 8 93 1 107 37 2 7 141 13 14 7 88 22 48 10 27 0 47 65 26 5 21 11 0 4 4 40 3 1 0 0 0 0 0 0 1 0 0 0
"321" "laugh" 28 108.178571428571 639 3.92018779342723 14 30 0 30 3 65 0 80 34 1 6 86 10 15 11 56 11 33 6 14 0 17 52 23 8 6 9 2 2 8 36 1 1 1 2 1 0 0 0 0 0 1 0
"322" "laugh" 24 83.8333333333333 416 4.01442307692308 2 24 0 12 2 26 1 57 24 2 12 36 7 21 0 38 3 29 1 13 0 38 0 12 3 20 17 1 3 3 29 0 3 0 3 0 0 0 0 3 0 0 0
"323" "bus" 48 79.6458333333333 811 3.90505548705302 5 48 0 25 8 92 0 104 31 4 9 92 17 26 1 71 14 60 9 22 0 32 70 20 11 5 14 3 6 8 35 0 0 1 0 3 0 0 0 0 0 0 0
"324" "famili" 32 119.875 781 4.10755441741357 37 32 0 27 5 67 2 85 47 2 4 111 7 43 6 32 39 39 8 26 0 29 39 16 19 10 19 7 1 9 49 1 0 0 0 1 4 3 3 1 0 0 0
"325" "smile" 38 80.2631578947368 667 3.79010494752624 16 39 0 28 0 40 2 67 33 0 6 64 8 30 0 78 13 48 8 13 2 43 23 22 3 34 30 3 4 1 34 1 1 2 1 1 0 0 2 1 0 0 0
"326" "laughter" 59 78.2203389830509 978 3.97750511247444 60 62 2 41 5 91 0 93 78 2 7 135 16 30 1 84 25 36 8 23 1 17 83 23 9 15 9 1 0 8 82 7 2 0 1 0 0 0 2 1 0 0 0
"327" "papa" 48 91.5208333333333 939 3.89243876464324 51 49 0 31 4 78 4 100 58 1 8 151 8 46 2 48 32 60 3 14 1 21 81 23 28 3 13 5 4 5 61 0 2 1 1 1 0 0 2 0 0 0 0
"328" "laugh" 32 90.78125 639 3.78403755868545 40 32 4 26 9 51 3 52 29 1 11 76 6 29 5 54 27 46 3 10 0 23 49 13 16 9 6 2 2 2 33 0 3 0 0 0 0 0 0 0 0 0 0
"329" "call" 30 129.266666666667 905 3.41988950276243 11 32 0 53 2 32 0 79 21 1 16 82 8 10 1 143 35 93 15 37 0 66 103 26 8 3 6 0 2 14 24 0 2 1 1 1 0 0 1 0 0 0 0
"330" "laugh" 59 59.5593220338983 795 3.65786163522013 6 62 0 38 6 79 2 70 30 5 11 108 8 18 1 86 25 37 4 18 1 27 103 22 10 1 2 2 2 4 36 0 1 2 3 1 0 0 0 0 0 0 0
"331" "laugh" 37 111.297297297297 901 3.70921198668147 1 39 0 63 3 60 0 81 45 0 14 90 5 28 1 144 20 62 7 22 0 43 89 28 9 8 14 1 5 10 46 0 1 2 3 3 0 0 0 0 0 0 0
"332" "crab" 59 72.5254237288136 953 3.73242392444911 38 60 0 28 10 64 3 90 55 1 9 102 5 49 2 97 41 60 5 26 0 40 87 17 22 12 7 1 2 9 61 4 5 0 0 1 0 0 1 0 0 0 0
"333" "brother" 37 62.5945945945946 512 3.798828125 21 37 1 22 7 43 1 52 21 4 8 70 3 15 0 41 21 32 3 8 0 20 20 6 7 11 21 1 3 6 26 3 1 0 1 0 0 0 2 0 0 0 0
"334" "friend" 24 78.5833333333333 360 4.46666666666667 7 24 1 0 3 27 0 42 21 0 3 35 13 15 0 40 9 21 1 13 0 14 31 13 3 6 9 1 2 3 22 1 1 1 0 0 0 0 0 0 0 0 0
"335" "laugh" 49 71.4285714285714 816 3.53799019607843 47 49 2 33 8 57 1 82 31 2 10 84 12 19 1 75 30 66 9 28 0 42 59 23 10 14 10 3 1 6 34 0 1 1 0 0 0 0 0 0 0 0 0
"336" "drop" 32 129 899 3.75194660734149 23 34 0 23 4 96 6 111 50 4 13 142 5 14 1 75 25 58 14 14 1 35 63 25 13 13 17 0 4 9 55 0 1 2 0 0 1 2 0 1 0 0 0
"337" "laughter" 48 81.8333333333333 902 3.58536585365854 47 49 4 28 5 57 2 80 33 4 13 82 9 26 1 99 24 81 6 20 0 35 43 23 24 36 30 2 21 12 40 0 3 0 0 3 0 0 0 0 0 0 0
"338" "cousin" 51 82.6274509803922 947 3.66420274551214 35 51 3 32 4 77 2 96 45 1 8 108 15 22 1 102 34 61 11 25 0 33 74 29 9 24 17 1 3 14 50 1 4 1 3 0 0 0 1 0 0 0 0
"339" "make" 50 81.7 851 4.02115158636898 21 50 0 41 6 55 1 85 41 2 19 89 12 28 2 92 19 59 2 37 1 46 95 17 10 3 3 1 3 6 45 0 2 0 3 0 0 0 0 0 0 0 0
"340" "day" 30 62.3666666666667 428 3.65654205607477 20 33 1 9 5 29 0 42 31 0 7 52 4 6 1 45 7 40 1 7 0 18 29 9 3 8 6 1 0 7 31 2 0 1 1 0 0 0 2 0 1 0 0
"341" "laughter" 3 136.666666666667 71 4.97183098591549 0 2 0 3 0 3 0 4 2 0 6 17 2 2 0 2 0 3 0 2 0 7 0 1 1 2 5 0 4 1 2 0 0 1 1 0 0 0 0 0 0 0 0
"342" "laugh" 5 216 217 4.15668202764977 10 7 0 8 1 12 0 18 15 1 3 27 1 8 0 20 5 14 0 5 0 12 6 12 2 11 10 1 3 5 16 0 0 0 0 0 0 0 0 0 0 0 0
"343" "friend" 26 80.1538461538462 458 3.76637554585153 9 26 0 17 8 37 2 47 30 2 6 37 9 14 1 51 10 32 4 5 0 12 30 11 11 15 15 4 3 4 34 2 2 0 0 0 0 0 2 0 0 0 0
"344" "thing" 45 99.7333333333333 957 3.90073145245559 51 45 0 39 6 56 2 105 52 5 15 83 24 38 1 100 18 66 7 31 0 47 48 15 14 29 25 8 7 11 63 0 6 0 1 2 0 0 0 0 0 0 0
"345" "moment" 28 95.8571428571429 570 3.88771929824561 13 28 1 32 4 45 0 58 31 1 2 76 3 20 0 58 19 31 1 19 0 13 48 20 11 11 9 2 2 7 34 0 2 2 1 0 0 0 0 0 0 0 0
"346" "laugh" 35 118.028571428571 909 3.68756875687569 17 35 0 52 9 64 2 99 40 2 13 92 2 32 1 128 15 72 2 19 1 53 13 10 7 67 36 5 13 5 42 1 0 0 1 0 0 0 0 1 0 0 0
"347" "flower" 39 112.615384615385 943 3.84093319194062 36 45 0 24 10 99 0 101 48 4 12 131 6 20 4 84 11 61 8 26 0 43 60 24 16 21 21 5 5 10 54 2 2 0 0 0 0 0 4 0 0 0 0
"348" "grandpa" 31 118.354838709677 814 3.68304668304668 40 31 0 32 5 55 4 75 36 3 16 116 10 34 1 71 37 44 5 23 0 45 66 5 12 7 9 4 5 12 40 1 1 0 1 3 0 0 2 3 0 0 0
"349" "laugh" 20 157.7 641 4.03120124804992 10 21 0 32 4 41 1 92 43 0 23 61 7 14 0 75 8 52 1 10 0 51 23 8 1 28 18 5 3 3 43 1 0 2 2 0 0 0 0 1 0 0 0
"350" "laugh" 38 96.0526315789474 768 3.9453125 16 39 0 31 11 38 1 72 30 1 12 73 15 16 4 101 19 68 4 26 1 44 66 21 15 16 10 3 6 7 31 1 0 0 1 0 0 0 0 0 0 0 0
"351" "taller" 9 108.666666666667 223 3.54260089686099 5 8 1 9 0 12 1 29 14 0 0 20 0 5 0 34 13 12 5 4 0 4 26 8 0 1 1 0 1 0 19 0 5 0 0 0 2 3 0 0 0 0 0
"352" "sister" 39 105.307692307692 931 3.58539205155747 24 40 0 51 4 62 0 84 37 6 15 113 8 23 0 85 36 87 6 24 2 51 50 27 12 22 23 5 10 13 45 2 2 2 2 1 0 0 0 2 0 0 0
"353" "laugh" 24 100 492 4.09756097560976 18 25 0 9 7 40 1 70 32 0 3 56 7 18 1 52 7 16 1 11 0 19 35 10 5 20 6 1 4 9 33 4 1 0 0 0 0 0 4 0 0 0 0
"354" "peopl" 29 121.586206896552 724 4.02624309392265 15 31 0 33 5 55 2 79 41 0 5 84 4 47 0 58 21 59 4 20 0 38 27 30 6 24 15 3 2 8 43 2 2 0 2 1 0 0 1 0 0 0 0
"355" "mom" 35 123.257142857143 925 3.82378378378378 31 37 3 40 2 72 1 85 35 1 12 115 13 30 4 94 32 56 8 46 1 66 50 25 9 27 18 2 3 7 36 0 0 0 0 0 0 0 0 0 0 0 0
"356" "laughter" 48 79.2916666666667 831 3.82671480144404 48 48 0 23 9 79 2 83 28 2 14 104 18 39 1 68 8 51 3 23 0 40 67 17 13 8 13 4 2 2 33 3 3 1 4 0 0 0 3 0 0 0 0
"357" "laugh" 61 70.0983606557377 946 3.80338266384778 55 72 1 33 7 68 0 89 44 3 11 99 15 20 2 98 19 72 6 28 0 37 83 27 9 18 10 1 0 2 50 8 3 0 1 1 0 0 4 0 0 0 0
"358" "girl" 83 45.6144578313253 881 3.61634506242906 10 83 3 19 12 48 2 89 29 1 11 95 14 19 2 113 27 54 12 33 0 34 79 33 8 18 5 5 5 8 32 5 2 0 1 1 0 0 1 0 0 0 0
"359" "car" 38 90.5 708 4.06638418079096 19 44 0 26 9 56 1 69 43 4 6 96 15 16 6 64 25 33 8 23 0 30 77 9 16 2 1 2 0 4 47 2 0 0 1 1 0 0 0 0 0 0 0
"360" "bike" 22 150 722 3.71191135734072 6 28 4 41 6 59 1 68 30 2 3 127 18 18 7 69 22 43 7 27 0 33 18 10 5 32 23 0 4 5 32 4 0 1 0 0 0 0 0 1 0 0 0
"361" "clock" 50 77.3 899 3.53726362625139 30 52 0 28 20 81 1 72 30 2 14 107 10 19 2 109 6 55 12 23 2 40 111 13 14 13 6 1 5 8 32 10 0 1 0 0 0 0 2 0 0 0 0
"362" "bowl" 40 63.15 565 3.72035398230088 17 40 0 21 10 46 0 58 35 1 3 68 4 24 0 52 18 41 9 15 0 13 47 14 7 10 8 1 0 1 36 1 0 0 0 0 0 0 1 0 0 0 0
